Target,Tempo total (ms),Arquivo
21532,6535.66,subset_10000.txt
82164,30528.11,subset_10000.txt
84807,31992.98,subset_10000.txt
6402,782.34,subset_10000.txt
51876,18634.38,subset_10000.txt
8880,1511.13,subset_10000.txt
37851,12968.63,subset_10000.txt
84709,31027.26,subset_10000.txt
91448,34439.72,subset_10000.txt
24513,7707.01,subset_10000.txt
99246,37472.77,subset_10000.txt
42417,14653.17,subset_10000.txt
69832,26049.32,subset_10000.txt
81315,29559.38,subset_10000.txt
90878,34479.12,subset_10000.txt
94624,35239.94,subset_10000.txt
71727,27408.27,subset_10000.txt
45286,15772.96,subset_10000.txt
49918,18388.69,subset_10000.txt
65156,24541.77,subset_10000.txt
64496,24750.22,subset_10000.txt
73886,27564.41,subset_10000.txt
16365,4456.99,subset_10000.txt
68574,24972.70,subset_10000.txt
43895,15829.61,subset_10000.txt
10975,2313.94,subset_10000.txt
75570,28454.70,subset_10000.txt
4708,424.63,subset_10000.txt
88236,33497.21,subset_10000.txt
80713,29622.02,subset_10000.txt
69219,25971.43,subset_10000.txt
28736,9179.48,subset_10000.txt
76967,28877.00,subset_10000.txt
48158,17205.36,subset_10000.txt
7343,1194.64,subset_10000.txt
39983,142322.03,subset_100000.txt 
61235,318836.59,subset_100000.txt 
57913,323920.57,subset_100000.txt 
63211,324448.72,subset_100000.txt 
13937,22752.79,subset_100000.txt 
24425,58986.96,subset_100000.txt 
27602,80467.15,subset_100000.txt 
91390,650665.01,subset_100000.txt 
24709,46531.92,subset_100000.txt 
34152,86031.20,subset_100000.txt 
50619,191586.23,subset_100000.txt 
41418,127655.60,subset_100000.txt 
93787,662684.96,subset_100000.txt 
23983,44930.83,subset_100000.txt 
30168,79785.46,subset_100000.txt 
32277,77467.88,subset_100000.txt 
63065,271971.68,subset_100000.txt 
63071,263441.42,subset_100000.txt 
46850,144084.63,subset_100000.txt 
10054,6835.53,subset_100000.txt 
84946,521684.84,subset_100000.txt 
26724,49741.41,subset_100000.txt 
11375,9210.17,subset_100000.txt 
34059,83228.75,subset_100000.txt 
66051,305569.15,subset_100000.txt 
26731,51524.74,subset_100000.txt 
5816,2738.47,subset_100000.txt 
86833,586604.87,subset_100000.txt 
49126,195236.45,subset_100000.txt 
62171,283183.76,subset_100000.txt 
58188,245554.24,subset_100000.txt 
28248,58284.21,subset_100000.txt 
41980,127371.99,subset_100000.txt 
37073,101132.29,subset_100000.txt 
10608,8131.85,subset_100000.txt 
91062,675210.65,subset_100000.txt 
41772,122687.11,subset_100000.txt 
61984,313391.36,subset_100000.txt 
99083,843218.48,subset_100000.txt 
95919,768543.44,subset_100000.txt 
94592,714937.37,subset_100000.txt 
79238,468845.21,subset_100000.txt 
62898,315885.09,subset_100000.txt 
27401,58354.33,subset_100000.txt 
81599,510796.31,subset_100000.txt 
63828,318570.87,subset_100000.txt 
78209,456259.88,subset_100000.txt 
96591,704179.23,subset_100000.txt 
90756,602646.84,subset_100000.txt 
78592,465677.73,subset_100000.txt 
65669,314239.47,subset_100000.txt 
42861,138298.23,subset_100000.txt 
63827,352249.98,subset_100000.txt 
31362,81635.56,subset_100000.txt 
88699,613886.16,subset_100000.txt 
66010,350835.26,subset_100000.txt 
14863,19687.59,subset_100000.txt 
95187,728852.09,subset_100000.txt 
13573,13668.44,subset_100000.txt 
16757,21010.55,subset_100000.txt 
97509,724735.22,subset_100000.txt 
79726,480556.98,subset_100000.txt 
41760,129124.95,subset_100000.txt 
68699,390747.48,subset_100000.txt 
62598,334051.08,subset_100000.txt 
49289,185478.59,subset_100000.txt 
51108,221373.55,subset_100000.txt 
87968,692287.60,subset_100000.txt 
27331,58323.07,subset_100000.txt 
48711,177615.93,subset_100000.txt 
84705,531992.89,subset_100000.txt 
90955,622101.93,subset_100000.txt 
71893,434422.34,subset_100000.txt 
17459,23681.00,subset_100000.txt 
73564,455755.77,subset_100000.txt 
88619,675335.77,subset_100000.txt 
23264,36247.87,subset_100000.txt 
96927,617900.18,subset_100000.txt 
67122,354128.58,subset_100000.txt 
17358,22277.61,subset_100000.txt 
67748,345693.83,subset_100000.txt 
27434,53119.96,subset_100000.txt 
39850,126164.81,subset_100000.txt 
42858,137542.85,subset_100000.txt 
79459,500002.87,subset_100000.txt 
90238,624702.92,subset_100000.txt 
23365,45725.05,subset_100000.txt 
36998,112912.49,subset_100000.txt 
7316,3970.67,subset_100000.txt 
34615,101942.16,subset_100000.txt 
74803,511584.74,subset_100000.txt 
37875,130342.86,subset_100000.txt 
8842,6919.71,subset_100000.txt 
65703,386655.63,subset_100000.txt 
12640,14733.00,subset_100000.txt 
36054,115500.03,subset_100000.txt 
77838,510075.17,subset_100000.txt 
17219,23022.28,subset_100000.txt 
62096,305858.94,subset_100000.txt 
79246,523411.54,subset_100000.txt 
