iteracao,arquivo,n,target,found,duracao
43,data/subset_grande.txt,25,817,1,0.013000
44,data/subset_pequeno.txt,5,55,0,0.000000
44,data/subset_medio.txt,15,496,1,0.001000
44,data/subset_grande.txt,25,889,1,0.006000
45,data/subset_pequeno.txt,5,180,0,0.000000
45,data/subset_medio.txt,15,185,1,0.000000
45,data/subset_grande.txt,25,516,1,0.000000
46,data/subset_pequeno.txt,5,53,0,0.000000
46,data/subset_medio.txt,15,314,1,0.000000
46,data/subset_grande.txt,25,134,1,0.000000
47,data/subset_pequeno.txt,5,224,0,0.000000
47,data/subset_medio.txt,15,593,1,0.001000
47,data/subset_grande.txt,25,1344,1,2.792000
48,data/subset_pequeno.txt,5,265,0,0.000000
48,data/subset_medio.txt,15,592,1,0.000000
48,data/subset_grande.txt,25,377,1,0.000000
49,data/subset_pequeno.txt,5,124,0,0.000000
49,data/subset_medio.txt,15,621,1,0.002000
49,data/subset_grande.txt,25,1274,1,1.426000
50,data/subset_pequeno.txt,5,47,0,0.000000
50,data/subset_medio.txt,15,228,1,0.000000
50,data/subset_grande.txt,25,1423,1,4.408000
