iteracao,arquivo,n,target,found,duracao
43,data/subset_grande.txt,25,817,1,0.150126
44,data/subset_pequeno.txt,5,55,0,0.000021
44,data/subset_medio.txt,15,496,1,0.003937
44,data/subset_grande.txt,25,889,1,0.074581
45,data/subset_pequeno.txt,5,180,0,0.000022
45,data/subset_medio.txt,15,185,1,0.000030
45,data/subset_grande.txt,25,516,1,0.001972
46,data/subset_pequeno.txt,5,53,0,0.000021
46,data/subset_medio.txt,15,314,1,0.000438
46,data/subset_grande.txt,25,134,1,0.000221
47,data/subset_pequeno.txt,5,224,0,0.000020
47,data/subset_medio.txt,15,593,1,0.011454
47,data/subset_grande.txt,25,1344,1,39.353088
48,data/subset_pequeno.txt,5,265,0,0.000021
48,data/subset_medio.txt,15,592,1,0.003867
48,data/subset_grande.txt,25,377,1,0.000632
49,data/subset_pequeno.txt,5,124,0,0.000021
49,data/subset_medio.txt,15,621,1,0.019277
49,data/subset_grande.txt,25,1274,1,19.355754
50,data/subset_pequeno.txt,5,47,0,0.000021
50,data/subset_medio.txt,15,228,1,0.000766
50,data/subset_grande.txt,25,1423,1,60.520176
